RK,TIERS,PLAYER NAME,TEAM,POS#,POS,BYE WEEK,SOS SEASON,ECR VS. ADP,AVG. POINTS ,% GAMES 
518,16,Stephen Sullivan,FA,TE80,TE,-1,-1,-,-0.1,36% (4/11)
519,16,Allen Robinson II,NYG,WR173,WR,11,3,73,-1.2,31% (5/16)
520,16,Jordan Akins,CLE,TE81,TE,10,3,25,-0.2,37% (6/16)
521,16,Anthony Gould,IND,WR174,WR,14,4,431,-,-
522,16,Tip Reiman,ARI,TE82,TE,11,5,158,-,-
523,16,Charlie Woerner,ATL,TE83,TE,12,3,357,-0.5,0% (0/9)
524,16,Dallin Holker,NO,TE84,TE,12,4,272,-,-
525,16,Brenton Strange,JAC,TE85,TE,12,3,289,-0.2,13% (2/15)
526,16,Payne Durham,TB,TE86,TE,11,3,296,-0.3,27% (3/11)
527,16,Jason Brownlee,NYJ,WR175,WR,12,4,401,0.5,60% (3/5)
528,16,Daijun Edwards,PIT,RB145,RB,9,4,-,-,-
529,16,Avery Williams,ATL,RB146,RB,12,4,356,-,-
530,16,Devaughn Vele,DEN,WR176,WR,14,2,-44,-,-
531,16,Tommy DeVito,NYG,QB60,QB,11,2,-189,-0.4,50% (3/6)
